concept1,ICD9CM,relationship1,concept2,SNOMED,relationship2,concept3,ICD10CM
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right ankle and foot, without tophus (tophi)",M1A.3710
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right ankle and foot, without tophus (tophi)",M1A.3710
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left elbow, without tophus (tophi)",M1A.3220
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left elbow, without tophus (tophi)",M1A.3220
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified elbow",M10.329
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, vertebrae, without tophus (tophi)",M1A.48X0
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, vertebrae, without tophus (tophi)",M1A.48X0
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left knee, with tophus (tophi)",M1A.4621
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, left knee, with tophus (tophi)",M1A.4621
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left knee, with tophus (tophi)",M1A.4621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left knee, with tophus (tophi)",M1A.4621
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, left knee, with tophus (tophi)",M1A.4621
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hip, without tophus (tophi)",M1A.2520
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hip, without tophus (tophi)",M1A.2520
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left elbow, with tophus (tophi)",M1A.2221
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left elbow, with tophus (tophi)",M1A.2221
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left elbow, with tophus (tophi)",M1A.2221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left elbow, with tophus (tophi)",M1A.2221
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left elbow, with tophus (tophi)",M1A.2221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hip, with tophus (tophi)",M1A.0521
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left hip, with tophus (tophi)",M1A.0521
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left hip, with tophus (tophi)",M1A.0521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left hip, with tophus (tophi)",M1A.0521
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left hip, with tophus (tophi)",M1A.0521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified shoulder, without tophus (tophi)",M1A.0190
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified shoulder, without tophus (tophi)",M1A.0190
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right wrist, without tophus (tophi)",M1A.4310
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right wrist, without tophus (tophi)",M1A.4310
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right elbow, without tophus (tophi)",M1A.4210
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right elbow, without tophus (tophi)",M1A.4210
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified wrist, with tophus (tophi)",M1A.0391
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified wrist, with tophus (tophi)",M1A.0391
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified wrist, with tophus (tophi)",M1A.0391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified wrist, with tophus (tophi)",M1A.0391
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified wrist, with tophus (tophi)",M1A.0391
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left shoulder, without tophus (tophi)",M1A.0120
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left shoulder, without tophus (tophi)",M1A.0120
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, multiple sites, with tophus (tophi)",M1A.49X1
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, multiple sites, with tophus (tophi)",M1A.49X1
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, multiple sites, with tophus (tophi)",M1A.49X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, multiple sites, with tophus (tophi)",M1A.49X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, multiple sites, with tophus (tophi)",M1A.49X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left elbow, with tophus (tophi)",M1A.3221
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left elbow, with tophus (tophi)",M1A.3221
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left elbow, with tophus (tophi)",M1A.3221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left elbow, with tophus (tophi)",M1A.3221
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left elbow, with tophus (tophi)",M1A.3221
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right ankle and foot, without tophus (tophi)",M1A.0710
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right ankle and foot, without tophus (tophi)",M1A.0710
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right elbow, without tophus (tophi)",M1A.0210
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, right elbow, without tophus (tophi)",M1A.0210
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.0791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.0791
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.0791
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.0791
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.0791
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified knee, with tophus (tophi)",M1A.0691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified knee, with tophus (tophi)",M1A.0691
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, unspecified knee, with tophus (tophi)",M1A.0691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified knee, with tophus (tophi)",M1A.0691
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, unspecified knee, with tophus (tophi)",M1A.0691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left wrist, with tophus (tophi)",M1A.0321
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Idiopathic chronic gout, left wrist, with tophus (tophi)",M1A.0321
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left wrist, with tophus (tophi)",M1A.0321
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left wrist, with tophus (tophi)",M1A.0321
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Idiopathic chronic gout, left wrist, with tophus (tophi)",M1A.0321
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left wrist",M10.132
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, left wrist",M10.132
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right elbow",M10.021
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, right elbow",M10.021
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified shoulder",M10.019
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified shoulder",M10.019
Gout with other specified manifestations,274.89,Maps to,Gout associated problem,170737008,Mapped from,"Other secondary gout, right hip",M10.451
Gouty nephropathy,274.1,Maps to,Chronic gouty nephropathy,190829000,Mapped from,"Gout due to renal impairment, unspecified hip",M10.359
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified elbow",M10.129
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Lead-induced gout, unspecified elbow",M10.129
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hip, with tophus (tophi)",M1A.4511
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right hip, with tophus (tophi)",M1A.4511
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right hip, with tophus (tophi)",M1A.4511
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right hip, with tophus (tophi)",M1A.4511
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Other secondary chronic gout, right hip, with tophus (tophi)",M1A.4511
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left elbow",M10.222
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Drug-induced gout, left elbow",M10.222
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified ankle and foot",M10.079
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified ankle and foot",M10.079
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified elbow",M10.029
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified elbow",M10.029
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified elbow, without tophus (tophi)",M1A.4290
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, unspecified elbow, without tophus (tophi)",M1A.4290
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right knee, without tophus (tophi)",M1A.3610
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, right knee, without tophus (tophi)",M1A.3610
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left shoulder, with tophus (tophi)",M1A.3121
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Chronic gout due to renal impairment, left shoulder, with tophus (tophi)",M1A.3121
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left shoulder, with tophus (tophi)",M1A.3121
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left shoulder, with tophus (tophi)",M1A.3121
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Chronic gout due to renal impairment, left shoulder, with tophus (tophi)",M1A.3121
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hip, with tophus (tophi)",M1A.2521
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, left hip, with tophus (tophi)",M1A.2521
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left hip, with tophus (tophi)",M1A.2521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left hip, with tophus (tophi)",M1A.2521
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, left hip, with tophus (tophi)",M1A.2521
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right knee, without tophus (tophi)",M1A.4610
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Other secondary chronic gout, right knee, without tophus (tophi)",M1A.4610
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hip, with tophus (tophi)",M1A.2511
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, right hip, with tophus (tophi)",M1A.2511
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right hip, with tophus (tophi)",M1A.2511
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right hip, with tophus (tophi)",M1A.2511
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Drug-induced chronic gout, right hip, with tophus (tophi)",M1A.2511
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified elbow, without tophus (tophi)",M1A.2290
Chronic gouty arthropathy without mention of tophus (tophi),274.02,Maps to,Chronic gouty arthritis,68451005,Mapped from,"Drug-induced chronic gout, unspecified elbow, without tophus (tophi)",M1A.2290
"Gouty arthropathy, unspecified",274.00,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified hip",M10.059
Gouty arthropathy,274.0,Maps to,Articular gout,48440001,Mapped from,"Idiopathic gout, unspecified hip",M10.059
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, right hand",M10.041
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified elbow",M10.029
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.1691
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.1691
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, unspecified knee, with tophus (tophi)",M1A.1691
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right hip, with tophus (tophi)",M1A.1511
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right hip, with tophus (tophi)",M1A.1511
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right hip, with tophus (tophi)",M1A.1511
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified hand",M10.049
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified ankle and foot, with tophus (tophi)",M1A.0791
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified shoulder",M10.019
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left wrist, with tophus (tophi)",M1A.0321
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.1721
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.1721
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, left ankle and foot, with tophus (tophi)",M1A.1721
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified hip",M10.059
Gout with other specified manifestations,274.8,Maps to,Gout,90560007,Mapped from,"Gout, unspecified",M10.9
"Gout, unspecified",274.9,Maps to,Gout,90560007,Mapped from,"Gout, unspecified",M10.9
Gout,274,Maps to,Gout,90560007,Mapped from,"Gout, unspecified",M10.9
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, vertebrae, with tophus (tophi)",M1A.18X1
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, vertebrae, with tophus (tophi)",M1A.18X1
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, vertebrae, with tophus (tophi)",M1A.18X1
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left hip, with tophus (tophi)",M1A.0521
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.1711
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.1711
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right ankle and foot, with tophus (tophi)",M1A.1711
"Gouty tophi of other sites, except ear",274.82,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right elbow, with tophus (tophi)",M1A.1211
Chronic gouty arthropathy with tophus (tophi),274.03,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right elbow, with tophus (tophi)",M1A.1211
Gout with other specified manifestations,274.8,Maps to,Gouty tophus,402469004,Mapped from,"Lead-induced chronic gout, right elbow, with tophus (tophi)",M1A.1211
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified wrist, with tophus (tophi)",M1A.0391
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, unspecified ankle and foot",M10.079
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified knee, with tophus (tophi)",M1A.0691
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic gout, right elbow",M10.021
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, knee",M1A.06
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, hand",M1A.04
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, right hip",M1A.051
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, left ankle and foot",M1A.072
Acute gouty arthropathy,274.01,Maps to,Primary gout,24595009,Mapped from,"Idiopathic chronic gout, unspecified shoulder",M1A.019
